key,name,abbr,col,row
murmanskaya,Мурманская область,МУР,4,0
kareliya,Республика Карелия,КАР,3,1
nenetskiy,Ненецкий АО,НЕН,9,1
chukotskiy,Чукотский АО,ЧУК,15,1
kaliningradskaya,Калининградская область,КНГ,0,2
spb,Санкт-Петербург,СПБ,2,2
novgorodskaya,Новгородская область,НОВГ,3,2
vologodskaya,Вологодская область,ВОЛ,4,2
arhangelskaya,Архангельская область,АРХ,8,2
komi,Республика Коми,КОМИ,9,2
yamalo_nenetskiy,Ямало-Ненецкий АО,ЯМАЛ,10,2
krasnoyarskiy,Красноярский край,КРАС,13,2
saha,Республика Саха (Якутия),САХА,15,2
magadanskaya,Магаданская область,МАГ,16,2
kamchatskiy,Камчатский край,КАМ,17,2
leningradskaya,Ленинградская область,ЛЕН,2,3
tverskaya,Тверская область,ТВЕР,3,3
yaroslavskaya,Ярославская область,ЯРО,4,3
ivanovskaya,Ивановская область,ИВА,5,3
kostromskaya,Костромская область,КОС,6,3
mariy_el,Республика Марий Эл,МАР,7,3
kirovskaya,Кировская область,КИР,8,3
permskiy,Пермский край,ПЕР,9,3
hmao,Ханты-Мансийский АО — Югра,ХАН,10,3
tyumenskaya,Тюменская область,ТЮМ,11,3
tomskaya,Томская область,ТОМ,12,3
kemerovskaya,Кемеровская область — Кузбасс,КЕМ,13,3
irkutskaya,Иркутская область,ИРК,14,3
amurskaya,Амурская область,АМУ,15,3
habarovskiy,Хабаровский край,ХАБ,16,3
pskovskaya,Псковская область,ПСК,1,4
smolenskaya,Смоленская область,СМО,2,4
moskva,Москва,МСК,3,4
moskovskaya,Московская область,МОС,4,4
vladimirskaya,Владимирская область,ВЛА,5,4
nizhegorodskaya,Нижегородская область,НИЖ,6,4
chuvashskaya,Чувашская Республика,ЧУВ,7,4
tatarstan,Республика Татарстан,ТАТ,8,4
udmurtskaya,Удмуртская Республика,УДМ,9,4
sverdlovskaya,Свердловская область,СВЕ,10,4
kurganskaya,Курганская область,КУГ,11,4
novosibirskaya,Новосибирская область,НВС,12,4
hakasiya,Республика Хакасия,ХАК,13,4
buryatiya,Республика Бурятия,БУР,14,4
evreyskaya,Еврейская АО,ЕВР,15,4
sahalinskaya,Сахалинская область,СХЛ,18,4
bryanskaya,Брянская область,БРЯ,1,5
kaluzhskaya,Калужская область,КАЛ,2,5
orlovskaya,Орловская область,ОРЛ,3,5
tulskaya,Тульская область,ТУЛ,4,5
ryazanskaya,Рязанская область,РЯЗ,5,5
mordoviya,Республика Мордовия,МОР,6,5
ulyanovskaya,Ульяновская область,УЛЬ,7,5
samarskaya,Самарская область,САМ,8,5
bashkortostan,Республика Башкортостан,БШК,9,5
chelyabinskaya,Челябинская область,ЧЕЛ,10,5
omskaya,Омская область,ОМС,11,5
altayskiy_kray,Алтайский край,АЛК,12,5
tyva,Республика Тыва,ТУВ,13,5
zabaykalskiy,Забайкальский край,ЗАБ,14,5
primorskiy,Приморский край,ПРИ,16,5
lnr,Луганская Народная Республика,ЛНР,2,6
kurskaya,Курская область,КУР,3,6
lipetskaya,Липецкая область,ЛИП,4,6
tambovskaya,Тамбовская область,ТАМ,5,6
penzenskaya,Пензенская область,ПЕН,6,6
saratovskaya,Саратовская область,САР,7,6
orenburgskaya,Оренбургская область,ОРН,8,6
altay,Республика Алтай,АЛТ,12,6
hersonskaya,Херсонская область,ХРС,1,7
zaporozhskaya,Запорожская область,ЗАП,2,7
dnr,Донецкая Народная Республика,ДНР,3,7
belgorodskaya,Белгородская область,БЕЛ,4,7
voronezhskaya,Воронежская область,ВОР,5,7
volgogradskaya,Волгоградская область,ВЛГ,6,7
krym,Республика Крым,КРМ,2,8
adygeya,Республика Адыгея,АДЫ,3,8
krasnodarskiy,Краснодарский край,КРД,4,8
rostovskaya,Ростовская область,РОС,5,8
kalmykiya,Республика Калмыкия,КЛМ,6,8
astrahanskaya,Астраханская область,АСТ,7,8
sevastopol,Севастополь,СВС,2,9
karachaevo_cherk,Карачаево-Черкесская Республика,КЧР,4,9
stavropolskiy,Ставропольский край,СТА,5,9
chechenskaya,Чеченская Республика,ЧЕЧ,6,9
dagestan,Республика Дагестан,ДАГ,7,9
kabardino_balk,Кабардино-Балкарская Республика,КАБ,4,10
severnaya_osetiya,Республика Северная Осетия — Алания,СОС,5,10
ingushetiya,Республика Ингушетия,ИНГ,6,10
